company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,Mar-13,+,-,-,Reinvestor
TCS,Mar-14,+,-,-,Reinvestor
TCS,Mar-15,+,-,-,Reinvestor
TCS,Mar-16,+,-,-,Reinvestor
TCS,Mar-17,+,-,-,Reinvestor
TCS,Mar-18,+,+,-,Liquidating Assets
TCS,Mar-19,+,+,-,Liquidating Assets
TCS,Mar-20,+,+,-,Liquidating Assets
TCS,Mar-21,+,-,-,Shareholder Returns
TCS,Mar-22,+,-,-,Shareholder Returns
TCS,Mar-23,+,+,-,Liquidating Assets
TCS,Mar-24,+,+,-,Liquidating Assets
ABB,Dec 2012,+,-,-,Reinvestor
ABB,Mar 2014,+,-,-,Reinvestor
ABB,Mar 2015,+,-,-,Reinvestor
ABB,Mar 2016,+,-,-,Reinvestor
ABB,Mar 2017,+,-,-,Shareholder Returns
ABB,Mar 2018,+,-,-,Reinvestor
ABB,Mar 2019,+,-,-,Shareholder Returns
ABB,Mar 2020,+,-,-,Shareholder Returns
ABB,Mar 2021,+,-,-,Shareholder Returns
ABB,Mar 2022,+,-,-,Shareholder Returns
ABB,Mar 2023,+,-,-,Reinvestor
ABB,Mar 2024,+,-,-,Shareholder Returns
ABB,Mar 2014,0,0,0,Mixed
ABB,Mar 2015,-,-,+,Growth Funded by Debt
ABB,Mar 2016,+,-,-,Shareholder Returns
ABB,Mar 2017,+,-,-,Shareholder Returns
ABB,Mar 2018,+,-,+,Mixed
ABB,Mar 2019,+,-,+,Mixed
ABB,Mar 2020,+,-,+,Mixed
ABB,Mar 2021,+,-,-,Shareholder Returns
ABB,Mar 2022,+,-,-,Shareholder Returns
ABB,Mar 2023,+,-,+,Mixed
ABB,Mar 2024,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2014,0,0,0,Mixed
ADANIENSOL,Mar 2015,-,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2016,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2017,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2018,+,-,+,Mixed
ADANIENSOL,Mar 2019,+,-,+,Mixed
ADANIENSOL,Mar 2020,+,-,+,Mixed
