company_id,company_name,sector,cfo_value,cff_value,latest_net_profit
AXISBANK,Axis Bank Ltd,Financial Services,-5555.0,22341.0,24861.0
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,-68674.0,82709.0,15595.0
BAJFINANCE,Bajaj Finance Ltd,Financial Services,-72760.0,82415.0,14451.0
BANKBARODA,Bank of Baroda,Financial Services,-6274.0,5476.0,18869.0
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financial Services,-35683.0,38471.0,3420.0
GRASIM,Grasim Industries Ltd,Materials,-10719.0,33908.0,9926.0
M&M,"Mahindra & Mahindra Ltd
",Automobile,-5630.0,12281.0,12270.0
PFC,Power Finance Corporation Ltd,Financial Services,-97820.0,101261.0,26461.0
PNB,Punjab National Bank,Financial Services,-27939.0,3518.0,9157.0
RECLTD,REC Ltd,Financial Services,-57723.0,59588.0,14145.0
SHRIRAMFIN,"Shriram Finance Ltd
",Financial Services,-31101.0,27609.0,7399.0
TVSMOTOR,TVS Motor Company Ltd,Automobile,-1253.0,2759.0,1779.0
