company_id,cluster_id,cluster_name,distance_from_centroid
ABB,4,Emerging Growth,0.5331
ADANIENSOL,3,Distressed or Turnaround,0.846983
ADANIENT,3,Distressed or Turnaround,0.696294
ADANIGREEN,2,Value Cyclicals,2.312285
ADANIPORTS,3,Distressed or Turnaround,1.528327
ADANIPOWER,1,Defensive Dividend Payers,1.674385
AMBUJACEM,4,Emerging Growth,1.145357
APOLLOHOSP,0,High-Quality Compounders,0.610293
ASIANPAINT,0,High-Quality Compounders,0.433507
AXISBANK,2,Value Cyclicals,1.454141
BAJAJ-AUTO,4,Emerging Growth,0.603559
BAJAJFINSV,2,Value Cyclicals,1.216833
BAJAJHLDNG,2,Value Cyclicals,3.141781
BAJFINANCE,3,Distressed or Turnaround,0.985541
BANKBARODA,2,Value Cyclicals,2.15132
BEL,1,Defensive Dividend Payers,6.501065
BHARTIARTL,4,Emerging Growth,1.414387
BOSCHLTD,4,Emerging Growth,1.164817
BPCL,4,Emerging Growth,1.044468
BRITANNIA,4,Emerging Growth,0.567464
CANBK,2,Value Cyclicals,2.932552
CGPOWER,1,Defensive Dividend Payers,1.356953
CHOLAFIN,2,Value Cyclicals,1.421605
CIPLA,4,Emerging Growth,2.112463
COALINDIA,4,Emerging Growth,1.512501
CUMMINSIND,1,Defensive Dividend Payers,1.366611
DIVISLAB,4,Emerging Growth,0.537463
DLF,4,Emerging Growth,2.408773
DMART,3,Distressed or Turnaround,0.790739
DRREDDY,0,High-Quality Compounders,0.922848
EICHERMOT,4,Emerging Growth,1.337627
ENRIN,1,Defensive Dividend Payers,1.415784
ETERNAL,3,Distressed or Turnaround,1.095728
GAIL,1,Defensive Dividend Payers,3.843442
GODREJCP,4,Emerging Growth,0.488789
GRASIM,0,High-Quality Compounders,0.503344
HAL,1,Defensive Dividend Payers,4.990884
HCLTECH,1,Defensive Dividend Payers,1.424922
HDFCAMC,3,Distressed or Turnaround,0.662271
HDFCBANK,2,Value Cyclicals,0.291031
HDFCLIFE,2,Value Cyclicals,2.774969
HINDALCO,4,Emerging Growth,2.43612
HINDUNILVR,4,Emerging Growth,1.89795
HINDZINC,4,Emerging Growth,0.741379
HYUNDAI,4,Emerging Growth,0.337974
ICICIBANK,2,Value Cyclicals,0.424686
INDHOTEL,3,Distressed or Turnaround,1.159243
INDIGO,1,Defensive Dividend Payers,2.59033
INFY,0,High-Quality Compounders,0.607712
IOC,4,Emerging Growth,1.041041
IRFC,2,Value Cyclicals,1.69786
ITC,4,Emerging Growth,0.500341
JINDALSTEL,4,Emerging Growth,1.025181
JIOFIN,2,Value Cyclicals,2.486705
JSWSTEEL,3,Distressed or Turnaround,0.960723
KOTAKBANK,2,Value Cyclicals,1.610152
LODHA,4,Emerging Growth,2.17306
LT,0,High-Quality Compounders,0.429014
LTM,0,High-Quality Compounders,0.555847
M&M,4,Emerging Growth,0.763693
MARUTI,0,High-Quality Compounders,0.81348
MAXHEALTH,0,High-Quality Compounders,0.406508
MAZDOCK,1,Defensive Dividend Payers,1.309724
MOTHERSON,0,High-Quality Compounders,0.8679
MUTHOOTFIN,3,Distressed or Turnaround,0.667151
NESTLEIND,0,High-Quality Compounders,0.792908
NTPC,0,High-Quality Compounders,0.692854
ONGC,4,Emerging Growth,0.78821
PFC,2,Value Cyclicals,1.772052
PIDILITIND,0,High-Quality Compounders,0.25636
PNB,3,Distressed or Turnaround,1.242115
POWERGRID,4,Emerging Growth,2.354579
RECLTD,2,Value Cyclicals,1.908523
RELIANCE,4,Emerging Growth,0.731255
SBILIFE,3,Distressed or Turnaround,1.172112
SBIN,0,High-Quality Compounders,1.414624
SHREECEM,0,High-Quality Compounders,0.43147
SHRIRAMFIN,3,Distressed or Turnaround,0.991076
SIEMENS,1,Defensive Dividend Payers,1.455882
SOLARINDS,0,High-Quality Compounders,0.251835
SUNPHARMA,4,Emerging Growth,0.793921
TATACAP,3,Distressed or Turnaround,0.624995
TATACONSUM,0,High-Quality Compounders,1.560931
TATAPOWER,0,High-Quality Compounders,0.709571
TATASTEEL,0,High-Quality Compounders,0.742333
TCS,4,Emerging Growth,0.514765
TECHM,0,High-Quality Compounders,0.689609
TITAN,3,Distressed or Turnaround,0.509657
TMCV,1,Defensive Dividend Payers,1.306524
TMPV,4,Emerging Growth,0.334279
TORNTPHARM,4,Emerging Growth,0.301558
TRENT,3,Distressed or Turnaround,2.252428
TVSMOTOR,3,Distressed or Turnaround,1.408942
ULTRACEMCO,0,High-Quality Compounders,0.311561
UNIONBANK,2,Value Cyclicals,3.222842
UNITDSPR,4,Emerging Growth,0.922069
VBL,4,Emerging Growth,0.499293
VEDL,4,Emerging Growth,0.91641
WIPRO,4,Emerging Growth,0.584725
ZYDUSLIFE,4,Emerging Growth,0.436295
