file,table,source_rows,loaded_rows,rejected_rows,critical_rejections,warning_rejections,sample_rejection
companies.xlsx,companies,100,100,0,0,0,
profitandloss.xlsx,profitandloss,1167,1167,0,0,0,
balancesheet.xlsx,balancesheet,1214,1214,0,0,0,
cashflow.xlsx,cashflow,1096,1096,0,0,0,
analysis.xlsx,analysis,115,115,0,0,0,
documents.xlsx,documents,1416,1416,0,0,0,
prosandcons.xlsx,prosandcons,111,111,0,0,0,
sectors.xlsx,sectors,100,100,0,0,0,
financial_ratios.xlsx,financial_ratios,1135,1135,0,0,0,
market_cap.xlsx,market_cap,577,577,0,0,0,
peer_groups.xlsx,peer_groups,100,100,0,0,0,
stock_prices.xlsx,stock_prices,5977,5977,0,0,0,
