company_id,metric_type,raw_text,reason
SBILIFE,compounded_sales_growth,TTM:            43%,no_regex_match
SBILIFE,compounded_profit_growth,TTM:                 18%,no_regex_match
SBILIFE,stock_price_cagr,     1 Year:         -2%,no_regex_match
SBILIFE,roe,Last Year:      12%,no_regex_match
TCS,compounded_sales_growth,TTM:            5%             ,no_regex_match
TCS,compounded_profit_growth,TTM:                 8%,no_regex_match
TCS,roe,Last Year:       52%,no_regex_match
WIPRO,stock_price_cagr,      3 Years:      -1%,no_regex_match
WIPRO,compounded_sales_growth,TTM:           -3%,no_regex_match
WIPRO,compounded_profit_growth,TTM:                 1%,no_regex_match
WIPRO,roe,Last Year:       14%,no_regex_match
HDFCBANK,compounded_sales_growth,TTM:            47%,no_regex_match
HDFCBANK,compounded_profit_growth,TTM:                27%,no_regex_match
HDFCBANK,roe,Last Year:    17%,no_regex_match
INFY,compounded_sales_growth,TTM:            3%,no_regex_match
INFY,compounded_profit_growth,TTM:                 8%,no_regex_match
INFY,roe,Last Year:     32%,no_regex_match
