company_id,company_name,previous_year,latest_year,previous_pattern,latest_pattern
AXISBANK,Axis Bank Ltd,2023,2024,Mixed,Growth Funded by Debt
BANKBARODA,Bank of Baroda,2023,2024,Pre-Revenue,Growth Funded by Debt
CANBK,Canara Bank,2023,2024,Growth Funded by Debt,Reinvestor
ETERNAL,Eternal Ltd.,2023,2024,Reinvestor,Shareholder Returns
HDFCBANK,HDFC Bank Ltd,2023,2024,Mixed,Liquidating Assets
HINDZINC,Hindustan Zinc Ltd.,2023,2024,Shareholder Returns,Reinvestor
HYUNDAI,Hyundai Motor India Ltd.,2023,2024,Reinvestor,Shareholder Returns
ICICIBANK,ICICI Bank Ltd,2023,2024,Growth Funded by Debt,Mixed
INDHOTEL,Indian Hotels Co. Ltd.,2023,2024,Shareholder Returns,Reinvestor
KOTAKBANK,"Kotak Mahindra Bank Ltd
",2023,2024,Growth Funded by Debt,Mixed
LTM,LTM Ltd.,2023,2024,Shareholder Returns,Reinvestor
MUTHOOTFIN,Muthoot Finance Ltd.,2023,2024,Shareholder Returns,Reinvestor
SBIN,State Bank of India,2023,2024,Growth Funded by Debt,Reinvestor
UNIONBANK,Union Bank of India,2023,2024,Reinvestor,Shareholder Returns
