metric,p10,p25,p50,p75,p90,mean,std
return_on_equity_pct,9.4139,13.1611,18.2529,29.568,54.6688,123.3298,608.6044
return_on_capital_employed_pct,4.6914,12.6357,22.1225,40.3952,106.9974,178.9141,796.7864
net_profit_margin_pct,4.9757,8.6172,14.1282,19.3991,28.8937,19.5835,43.4054
operating_profit_margin_pct,10.7055,17.84,23.6522,34.465,76.3007,31.2785,24.0736
debt_to_equity,0.0207,0.0833,0.3266,1.5481,6.427,1.6254,2.9337
free_cash_flow_cr,-11665.4,446.0,1929.0,8447.0,20182.6,1519.402,22000.9733
revenue_cagr_5yr,6.9948,9.212,11.1725,17.5708,21.2452,13.232,6.9108
pat_cagr_5yr,7.4478,10.6991,16.1265,23.6208,39.146,21.6797,21.0068
eps_cagr_5yr,6.6662,9.6585,14.8698,22.4001,33.8379,20.2926,20.3891
asset_turnover,0.084,0.3373,0.7679,1.1961,2.0435,3.5738,15.2307
