company_id|fiscal_year|rule|category|explanation
ABB|2012|ROE_SOURCE_VARIANCE|data source issue|computed=22.41, source_display=34.9
ABB|2012|ROCE_SOURCE_VARIANCE|version difference|computed=36.32, source_display=46.0
ABB|2014|ROE_SOURCE_VARIANCE|data source issue|computed=25.13, source_display=34.9
ABB|2014|ROCE_SOURCE_VARIANCE|version difference|computed=40.10, source_display=46.0
ABB|2014|ROE_SOURCE_VARIANCE|data source issue|computed=25.13, source_display=34.9
ABB|2014|ROCE_SOURCE_VARIANCE|version difference|computed=40.10, source_display=46.0
ABB|2015|ROE_SOURCE_VARIANCE|data source issue|computed=24.44, source_display=34.9
ABB|2015|ROCE_SOURCE_VARIANCE|version difference|computed=38.42, source_display=46.0
ABB|2015|ROE_SOURCE_VARIANCE|data source issue|computed=24.44, source_display=34.9
ABB|2015|ROCE_SOURCE_VARIANCE|version difference|computed=38.42, source_display=46.0
ABB|2016|ROE_SOURCE_VARIANCE|data source issue|computed=21.34, source_display=34.9
ABB|2016|ROCE_SOURCE_VARIANCE|version difference|computed=34.73, source_display=46.0
ABB|2016|ROE_SOURCE_VARIANCE|data source issue|computed=21.34, source_display=34.9
ABB|2016|ROCE_SOURCE_VARIANCE|version difference|computed=34.73, source_display=46.0
ABB|2017|ROE_SOURCE_VARIANCE|data source issue|computed=19.97, source_display=34.9
ABB|2017|ROCE_SOURCE_VARIANCE|version difference|computed=32.80, source_display=46.0
ABB|2017|ROE_SOURCE_VARIANCE|data source issue|computed=19.97, source_display=34.9
ABB|2017|ROCE_SOURCE_VARIANCE|version difference|computed=32.80, source_display=46.0
ABB|2018|ROE_SOURCE_VARIANCE|data source issue|computed=23.69, source_display=34.9
ABB|2018|ROCE_SOURCE_VARIANCE|version difference|computed=37.92, source_display=46.0
ABB|2018|ROE_SOURCE_VARIANCE|data source issue|computed=23.69, source_display=34.9
ABB|2018|ROCE_SOURCE_VARIANCE|version difference|computed=37.92, source_display=46.0
ABB|2019|ROE_SOURCE_VARIANCE|data source issue|computed=22.41, source_display=34.9
ABB|2019|ROCE_SOURCE_VARIANCE|version difference|computed=35.76, source_display=46.0
ABB|2019|ROE_SOURCE_VARIANCE|data source issue|computed=22.41, source_display=34.9
ABB|2019|ROCE_SOURCE_VARIANCE|version difference|computed=35.76, source_display=46.0
ABB|2020|ROE_SOURCE_VARIANCE|data source issue|computed=24.39, source_display=34.9
ABB|2020|ROCE_SOURCE_VARIANCE|version difference|computed=33.42, source_display=46.0
ABB|2020|ROE_SOURCE_VARIANCE|data source issue|computed=24.39, source_display=34.9
ABB|2020|ROCE_SOURCE_VARIANCE|version difference|computed=33.42, source_display=46.0
ABB|2021|ROE_SOURCE_VARIANCE|data source issue|computed=26.56, source_display=34.9
ABB|2021|ROCE_SOURCE_VARIANCE|version difference|computed=36.41, source_display=46.0
ABB|2021|ROE_SOURCE_VARIANCE|data source issue|computed=26.56, source_display=34.9
ABB|2021|ROCE_SOURCE_VARIANCE|version difference|computed=36.41, source_display=46.0
ABB|2022|ROE_SOURCE_VARIANCE|data source issue|computed=28.33, source_display=34.9
ABB|2022|ROCE_SOURCE_VARIANCE|version difference|computed=39.20, source_display=46.0
ABB|2022|ROE_SOURCE_VARIANCE|data source issue|computed=28.33, source_display=34.9
ABB|2022|ROCE_SOURCE_VARIANCE|version difference|computed=39.20, source_display=46.0
ABB|2023|ROE_SOURCE_VARIANCE|data source issue|computed=29.77, source_display=34.9
ABB|2023|ROE_SOURCE_VARIANCE|data source issue|computed=29.77, source_display=34.9
ADANIENSOL|2014|ROE_SOURCE_VARIANCE|data source issue|computed=0.00, source_display=8.59
ADANIENSOL|2014|ROCE_SOURCE_VARIANCE|version difference|computed=0.00, source_display=9.0
ADANIENSOL|2015|ROE_SOURCE_VARIANCE|data source issue|computed=-0.65, source_display=8.59
ADANIENSOL|2015|ROCE_SOURCE_VARIANCE|version difference|computed=0.96, source_display=9.0
ADANIENSOL|2016|ROE_SOURCE_VARIANCE|data source issue|computed=13.77, source_display=8.59
ADANIENSOL|2016|ROCE_SOURCE_VARIANCE|version difference|computed=17.74, source_display=9.0
ADANIENSOL|2017|ROE_SOURCE_VARIANCE|data source issue|computed=14.12, source_display=8.59
ADANIENSOL|2017|ROCE_SOURCE_VARIANCE|version difference|computed=16.82, source_display=9.0
ADANIENSOL|2018|ROE_SOURCE_VARIANCE|data source issue|computed=18.87, source_display=8.59
ADANIENSOL|2018|ROCE_SOURCE_VARIANCE|version difference|computed=17.82, source_display=9.0
ADANIENSOL|2021|ROE_SOURCE_VARIANCE|data source issue|computed=14.46, source_display=8.59
ADANIENSOL|2021|ROCE_SOURCE_VARIANCE|version difference|computed=14.06, source_display=9.0
ADANIENSOL|2024|OPM_MISMATCH|formula discrepancy|computed=34.39, source=30.0
ADANIENT|2013|ROE_SOURCE_VARIANCE|data source issue|computed=5.69, source_display=13.64
ADANIENT|2016|ROE_SOURCE_VARIANCE|data source issue|computed=7.47, source_display=13.64
ADANIENT|2017|ROE_SOURCE_VARIANCE|data source issue|computed=6.54, source_display=13.64
ADANIENT|2018|ROE_SOURCE_VARIANCE|data source issue|computed=3.94, source_display=13.64
ADANIENT|2019|ROE_SOURCE_VARIANCE|data source issue|computed=3.43, source_display=13.64
ADANIENT|2020|ROE_SOURCE_VARIANCE|data source issue|computed=6.14, source_display=13.64
ADANIENT|2021|ROE_SOURCE_VARIANCE|data source issue|computed=6.10, source_display=13.64
ADANIENT|2022|ROE_SOURCE_VARIANCE|data source issue|computed=3.54, source_display=13.64
ADANIENT|2023|ROE_SOURCE_VARIANCE|data source issue|computed=7.33, source_display=13.64
ADANIENT|2024|ROE_SOURCE_VARIANCE|data source issue|computed=8.53, source_display=13.64
ADANIGREEN|2017|ROE_SOURCE_VARIANCE|data source issue|computed=-3.91, source_display=14.7
ADANIGREEN|2017|ROCE_SOURCE_VARIANCE|version difference|computed=8.70, source_display=96.5
ADANIGREEN|2018|ROE_SOURCE_VARIANCE|data source issue|computed=-10.29, source_display=14.7
ADANIGREEN|2018|ROCE_SOURCE_VARIANCE|version difference|computed=7.90, source_display=96.5
ADANIGREEN|2019|ROE_SOURCE_VARIANCE|data source issue|computed=-24.57, source_display=14.7
ADANIGREEN|2019|ROCE_SOURCE_VARIANCE|version difference|computed=12.23, source_display=96.5
ADANIGREEN|2020|ROE_SOURCE_VARIANCE|data source issue|computed=-2.89, source_display=14.7
ADANIGREEN|2020|ROCE_SOURCE_VARIANCE|version difference|computed=7.77, source_display=96.5
ADANIGREEN|2021|ROE_SOURCE_VARIANCE|data source issue|computed=8.27, source_display=14.7
ADANIGREEN|2021|ROCE_SOURCE_VARIANCE|version difference|computed=9.97, source_display=96.5
ADANIGREEN|2022|ROCE_SOURCE_VARIANCE|version difference|computed=7.25, source_display=96.5
ADANIGREEN|2023|ROCE_SOURCE_VARIANCE|version difference|computed=9.16, source_display=96.5
ADANIGREEN|2024|ROCE_SOURCE_VARIANCE|version difference|computed=11.49, source_display=96.5
ADANIPORTS|2013|ROE_SOURCE_VARIANCE|data source issue|computed=25.63, source_display=18.1
ADANIPORTS|2018|ROCE_SOURCE_VARIANCE|version difference|computed=18.49, source_display=12.9
ADANIPORTS|2022|ROE_SOURCE_VARIANCE|data source issue|computed=11.84, source_display=18.1
ADANIPORTS|2023|ROE_SOURCE_VARIANCE|data source issue|computed=11.88, source_display=18.1
ADANIPORTS|2013|ROE_SOURCE_VARIANCE|data source issue|computed=25.63, source_display=18.1
ADANIPORTS|2018|ROCE_SOURCE_VARIANCE|version difference|computed=18.49, source_display=12.9
ADANIPORTS|2022|ROE_SOURCE_VARIANCE|data source issue|computed=11.84, source_display=18.1
ADANIPORTS|2023|ROE_SOURCE_VARIANCE|data source issue|computed=11.88, source_display=18.1
ADANIPOWER|2013|ROE_SOURCE_VARIANCE|data source issue|computed=-53.46, source_display=57.1
ADANIPOWER|2013|ROCE_SOURCE_VARIANCE|version difference|computed=2.55, source_display=32.2
ADANIPOWER|2014|ROE_SOURCE_VARIANCE|data source issue|computed=-4.45, source_display=57.1
ADANIPOWER|2014|ROCE_SOURCE_VARIANCE|version difference|computed=9.33, source_display=32.2
ADANIPOWER|2015|ROE_SOURCE_VARIANCE|data source issue|computed=-14.25, source_display=57.1
