company_id,fiscal_year,roe,debt_to_equity
BEL,2024,4744.05,0.51
HAL,2024,3816.58,0.62
INDIGO,2024,892.57,0.02
SBIN,2024,396.92,0.21
ETERNAL,2024,144.5,0.91
NESTLEIND,2024,117.75,0.1
LT,2024,77.67,0.1
TMCV,2024,59.35,0.37
BRITANNIA,2024,54.15,0.52
TCS,2024,50.94,0.09
MAZDOCK,2024,49.99,0.44
ADANIPOWER,2024,48.28,0.8
COALINDIA,2024,45.17,0.08
CUMMINSIND,2024,37.35,0.22
LTM,2024,37.0,0.13
TMPV,2024,36.35,0.17
TRENT,2024,36.31,0.43
BPCL,2024,35.51,0.72
CGPOWER,2024,34.91,0.24
VBL,2023,33.01,0.11
ABB,2024,32.47,0.02
ABB,2024,32.47,0.02
INFY,2024,29.79,0.09
ASIANPAINT,2024,29.68,0.13
ASIANPAINT,2024,29.68,0.13
MUTHOOTFIN,2024,29.53,0.16
ITC,2024,27.85,0.0
BAJAJ-AUTO,2024,26.61,0.07
BAJAJ-AUTO,2024,26.61,0.07
TATACAP,2024,24.96,0.17
HYUNDAI,2024,24.79,0.16
TORNTPHARM,2024,24.15,0.59
IOC,2024,23.53,0.72
HCLTECH,2024,23.01,0.08
EICHERMOT,2024,22.17,0.02
PIDILITIND,2024,20.78,0.05
MAXHEALTH,2024,20.68,0.94
BOSCHLTD,2024,20.64,0.0
HINDUNILVR,2024,20.07,0.03
ZYDUSLIFE,2024,20.04,0.04
UNITDSPR,2024,19.77,0.04
DRREDDY,2024,19.74,0.07
INDHOTEL,2024,18.52,0.18
SIEMENS,2024,17.7,0.02
ONGC,2024,16.94,0.45
MARUTI,2024,15.75,0.0
CIPLA,2024,15.55,0.02
ADANIPORTS,2024,15.35,0.94
ADANIPORTS,2024,15.35,0.94
SUNPHARMA,2024,15.09,0.05
