company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Capital Goods,75.58,4.48,12.63,0.05,29.35,157.51,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Consumer Durables,73.37,3.9,23.94,0.17,41.75,75.74,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,15.07,6.08,39.72,-4.18,34.24,-55.99,Discount
BAJFINANCE,Bajaj Finance Ltd,Financial Services,69.2,4.11,15.96,-3.23,34.24,102.1,Caution
BANKBARODA,Bank of Baroda,Financial Services,16.89,4.15,24.7,-1.28,34.24,-50.67,Discount
BEL,Bharat Electronics Ltd,Capital Goods,17.89,9.22,23.14,-0.09,29.35,-39.05,Discount
BOSCHLTD,Bosch Ltd,Automobile,58.43,6.47,16.07,0.06,29.91,95.35,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.42,31.44,116.76,Caution
BRITANNIA,Britannia Industries Ltd,FMCG,63.91,4.26,33.95,0.94,41.68,53.32,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financial Services,16.79,10.36,13.52,-3.97,34.24,-50.96,Discount
DIVISLAB,Divis Laboratories Ltd,Healthcare,69.95,12.34,31.81,0.06,42.15,65.95,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.02,42.15,-72.17,Discount
EICHERMOT,Eicher Motors Ltd,Automobile,15.62,13.61,19.29,0.4,29.91,-47.78,Discount
GRASIM,Grasim Industries Ltd,Materials,79.35,5.68,15.23,-7.06,45.02,76.27,Caution
HAL,Hindustan Aeronautics Ltd,Capital Goods,71.89,3.65,8.76,0.07,29.35,144.94,Caution
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,19.65,6.47,14.09,1.67,34.24,-42.61,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.81,57.05,-36.91,Discount
IRFC,Indian Railway Finance Corporation Ltd,Financial Services,9.81,3.91,16.66,0.3,34.24,-71.35,Discount
LTM,LTM Ltd.,Information Technology,34.99,6.49,14.7,2.2,57.05,-38.67,Discount
M&M,"Mahindra & Mahindra Ltd
",Automobile,14.22,0.81,29.08,-0.27,29.91,-52.46,Discount
MARUTI,Maruti Suzuki India Ltd,Automobile,20.78,8.26,29.97,0.33,29.91,-30.52,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Automobile,9.54,2.38,33.39,0.63,29.91,-68.1,Discount
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,55.58,6.57,13.83,1.29,34.24,62.32,Caution
NTPC,NTPC Ltd,Utilities,30.8,5.24,37.12,0.95,44.92,-31.43,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.78,31.44,-42.27,Discount
PNB,Punjab National Bank,Financial Services,19.29,10.91,23.64,-1.61,34.24,-43.66,Discount
RELIANCE,"Reliance Industries Ltd
",Energy,58.34,3.25,24.96,10.45,31.44,85.56,Caution
SBILIFE,SBI Life Insurance Company Ltd,Financial Services,69.98,9.48,31.04,-0.24,34.24,104.38,Caution
SBIN,State Bank of India,Financial Services,54.93,2.72,21.53,0.76,34.24,60.43,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06,45.02,-42.53,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financial Services,68.53,7.91,28.82,-3.61,34.24,100.15,Caution
TATAPOWER,"Tata Power Company Ltd
",Utilities,14.5,3.48,12.02,0.22,44.92,-67.72,Discount
TITAN,"Titan Company Ltd
",Consumer Durables,10.13,10.51,21.0,0.08,41.75,-75.74,Discount
TRENT,Trent Ltd,Consumer Services,8.65,11.82,34.65,0.15,49.94,-82.68,Discount
TVSMOTOR,TVS Motor Company Ltd,Automobile,46.1,5.62,7.1,-0.85,29.91,54.13,Caution
VBL,Varun Beverages Ltd.,FMCG,15.73,4.02,13.14,,41.68,-62.26,Discount
